"id","title","publisher","publicationDate","datePrecision","dateNote","language","coverageType","authors","sourceUrl","clippingUrl"
"PG1167","MSME | Skilling needs a demand-driven approach","Moneycontrol","2021-08-04","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/msme-skilling-needs-a-demand-driven-approach-7273671.html",""
"PG1180","Cluster development needs more focussed attention","Moneycontrol","2021-07-23","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/cluster-development-needs-more-focussed-attention-7213441.html",""
"DG-R-3245F73C8065","India needs to empower its women entrepreneurs","Moneycontrol","2021-07-12","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/india-needs-to-empower-its-women-entrepreneurs-7160181.html",""
"DG-R-CD43B9F695AA","Going beyond policy announcements to raise MSMEs' contribution to India’s exports","Moneycontrol","2021-06-23","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/going-beyond-policy-announcements-to-raise-msmes-contribution-to-indias-exports-7077991.html",""
"PG1214","Wanted: A Joint Secretary for 'digital drive' at the Ministry of MSME","Moneycontrol","2021-06-09","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/wanted-a-joint-secretary-for-digital-drive-at-the-ministry-of-msme-7007281.html",""
"PG1246","MSME | Compliance reform can give huge relief to small businesses","Moneycontrol","2021-05-27","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/msme-compliance-reform-can-give-huge-relief-to-small-businesses-6948641.html",""
"DG-R-1F95D5273A31","MSMEs | Delayed payments continue to clog liquidity. TReDS could be the answer","Moneycontrol","2021-05-12","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/msmes-delayed-payments-continue-to-clog-liquidity-treds-could-be-the-answer-6883001.html",""
"PG1323","How to bridge the credit gap for MSMEs","Moneycontrol","2021-04-27","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/how-to-bridge-the-credit-gap-for-msmes-6821071.html",""
"PG1371","When it comes to SMEs, the smaller are the most vulnerable","Moneycontrol","2021-04-14","day","Publication date established from source.","English","Authored article","Sumita Kale; Prashant Girbane","https://www.moneycontrol.com/news/opinion/when-it-comes-to-smes-the-smaller-are-the-most-vulnerable-6766641.html",""
"DG-R-7835D85BA982","Auto sector slowdown: MCCIA Director General says impact on Pune relatively less","The Indian Express","2019-08-25","day","Publication date established from source.","English","Interview","","https://indianexpress.com/article/business/economy/auto-sector-slowdown-mccia-director-general-says-impact-on-pune-relatively-less-5935080/",""
"PG2255","‘Increased interaction, genuine outreach, helping solve problems’","Hindustan Times","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","English","Mention","","https://www.hindustantimes.com/pune-news/increased-interaction-genuine-outreach-helping-solve-problems/story-zd8k1svl0Ecy2Wx5QgJhLO.html",""
"PG1901","डिजिटल इकॉनॉमीवरील भर भविष्याच्या दृष्टीनेही उत्तम : प्रशांत गिरबने","Loksatta","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","Marathi","Quotation","","https://www.loksatta.com/videos/vishesh-vartankan/2074647/budget-2020-prashant-girbane-pune/",""
"PG0514","Leaders of Tomorrow | Season 11 | Pune Springboard | Part 2","ET Now","","unknown","Broadcast date not verified. YouTube upload date is recorded separately and excluded from publication-date filtering.","English","Panel discussion","","https://www.youtube.com/watch?v=8su8asyONE8",""
"PG0361","Pune MSMEs say Budget 2024 a letdown, western Maharashtra neglected in infrastructure investment","The Indian Express","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","English","Quotation","","https://indianexpress.com/article/cities/pune/pune-msmes-budget-2024-letdown-western-maharashtra-neglected-infrastructure-investment-9470960/",""
"DG-R-D81344B6CA4B","In Conversation with Prashant Girbane & Hitendra Singh","TCS — pArivartana","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","English","Interview","","https://www.tcs.com/content/dam/global-tcs/en/pdfs/who-we-are/news/tcs-in-the-news/AnI_Parivartana.pdf#page=66",""
"DG-R-998779FB94D2","Why Apple can’t afford to surrender to Trump’s latest anti-India diktat","The Economic Times","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","English","Quotation","","https://economictimes.indiatimes.com/news/economy/foreign-trade/why-apple-cant-afford-to-surrender-to-trumps-latest-anti-india-diktat/articleshow/121205331.cms?from=mdr",""
"DG-R-346EBB6F3080","Many Communities, But One Loud & Clear Voice For Civic Solutions In Pune & Pimpri Chinchwad","The Times of India","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","English","Quotation","","https://timesofindia.indiatimes.com/city/pune/many-communities-but-one-loud-clear-voice-for-civic-solutions-in-pune-pimpri-chinchwad/articleshow/126512430.cms",""
"DG-R-2D94E6D824DB","Budget 2022 : उद्योगांसाठी चांगली तरतूद; करदात्यांची काळजी घ्या","Sakal","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","Marathi","Quotation","","https://www.esakal.com/amp/pune/todays-latest-marathi-news-12293",""
"DG-R-13FD431900D1","Slowdown effect? As capital goods orders dry up, Pune's MSMEs falter","Business Standard","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","English","Quotation","","https://www.business-standard.com/article/economy-policy/slowdown-effect-as-capital-goods-orders-dry-up-pune-s-msmes-falter-119120401699_1.html",""
"DG-R-02BB793DBC6B","Purandar Airport किती काळ रखडणार? मराठा चेंबरचे महासंचालक Prashant Girbane माझावर ABP Majha","ABP Majha","","unknown","Publication/broadcast date not established. An update or upload date is shown separately when available.","Marathi","Interview","","https://marathi.abplive.com/videos/news/pune-purandar-airport-chat-with-prashant-girbane-abp-majha-1023586",""
"PG0244","औद्योगिक निवेश बढ़ाने हेतु उद्योग अनुकूल नीति लागू","Aaj Ka Anand","2025-03-13","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0244.webp"
"PG0277","84 प्रतिशत कंपनियों को औद्योगिक विकास की उम्मीद","Aaj Ka Anand","2025-01-10","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG0277.webp"
"PG0347","MCCIA ने बजट को स्टार्टअप के लिए अच्छा बताया","Aaj Ka Anand","2024-07-25","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG0347.webp"
"PG0452","रक्षा सामग्री निर्माता कंपनियों की डायरेक्टरी विमोचित","Aaj Ka Anand","2024-01-06","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0452.webp"
"PG0490","उद्योग जगत को व्यापक दृष्टि से समाज के कल्याण के बारे में सोचना चाहिए : भागवत","Aaj Ka Anand","2023-09-23","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0490.webp"
"PG0492","उद्योग जगत अपनाए व्यापक दृष्टिकोण","Navabharat","2023-09-22","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0492.webp"
"PG0585","भविष्य के शहरों हेतु टीपी स्कीम को लागू करना जरूरी","Aaj Ka Anand","2023-01-14","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0585.webp"
"PG0630","राज्य में हाइड्रोजन, IT व शराब नीति जल्द","Navabharat","2022-11-09","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0630.webp"
"PG0640","राज्य में हाइड्रोजन, आईटी व वाइन पॉलिसी लाई जाएगी","Aaj Ka Anand","2022-11-08","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0640.webp"
"PG0798","ईंधन दर वृद्धि का मुकाबला करने इलेक्ट्रिक वाहन ही उचित उपाय","Aaj Ka Anand","2022-04-06","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG0798.webp"
"PG0966","सकारात्मक बजट के कारण रोजगार निर्माण को गति मिलेगी","Aaj Ka Anand","2022-02-02","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG0966.webp"
"PG1153","…तो साल भर में उद्योग क्षेत्र में सुधार","Navabharat","2021-08-24","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG1153.webp"
"PG1160","उत्पादन का स्तर बढ़ाने पाबंदियों में ढील का इंतजार","Aaj Ka Anand","2021-08-06","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG1160.webp"
"PG1196","वैक्सीनेशन की संख्या बढ़ने से अर्थव्यवस्था में आ सकेगी गति","Aaj Ka Anand","2021-07-03","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG1196.webp"
"PG1297","मिशन वायु के अंतर्गत विभागीय आयुक्त को 200 ऑक्सीजन कंसंट्रेटर्स सौंपे","Aaj Ka Anand","2021-05-06","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG1297.webp"
"PG1301","बढ़ते प्रतिबंधों के कारण कंपनियों के उत्पादन में 14% की गिरावट","Aaj Ka Anand","2021-05-05","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG1301.webp"
"PG1366","जीवनावश्यक वस्तुओं के उत्पादन की चेन नहीं टूटेगी","Aaj Ka Anand","2021-04-15","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG1366.webp"
"PG1499","निवेशकों के लिए मनपा अलग कक्ष बनाएगी : सभागृह नेता गणेश बीडकर ने MCCIA को दिया भरोसा","Aaj Ka Anand","2021-02-18","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG1499.webp"
"PG2811","‘फाइनेंशियल स्टेबिलिटी’ के अनुसार अच्छा बजट","Aaj Ka Anand","2026-02-02","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG2811.webp"
"PG2822","वैश्विक साझेदारों के साथ भारत के व्यापार सम्बन्ध मजबूत","Aaj Ka Anand","2025-02-25","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG2822.webp"
"PG2824","छोटे उद्यमियों के खिलाफ अतिक्रमण की कार्रवाई नहीं","Aaj Ka Anand","2025-02-23","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG2824.webp"
"PG2843","मध्यम वर्ग को राहत देने वाला बजट","Aaj Ka Anand","2025-02-02","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG2843.webp"
"PG2878","द. कमान-पुणे में आत्मनिर्भर उत्कृष्टता केंद्र शुरू","Aaj Ka Anand","2024-02-02","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG2878.webp"
"PG2879","इनोवेशन को बढ़ावा देने वाला है अंतरिम बजट","Aaj Ka Anand","2024-02-02","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG2879.webp"
"PG2895","इंडस्ट्रियल बेल्ट में सीईटीपी प्रोजेक्ट का भूमिपूजन","Aaj Ka Anand","2023-02-09","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Mention","","","/clipping-PG2895.webp"
"PG2915","व्यक्तिगत आयकर में छूट मध्यम वर्ग हेतु फायदेमंद","Aaj Ka Anand","2023-02-02","day","Date retained from the archive annotation beneath the clipping; not independently checked against a publisher edition.","Hindi","Quotation","","","/clipping-PG2915.webp"
"DG-TV-rleV-gwV634","Importance of Branding & Marketing for MSMEs | MCCIA DG Prashant Girbane | Zee Business","Zee Business","","unknown","Broadcast date not verified. YouTube upload date is recorded separately and excluded from publication-date filtering.","Hindi","Interview","","https://www.youtube.com/watch?v=rleV-gwV634",""
"DG-TV-BmVScyXIfLA","Financial Expert Prashant Girbane : परकीय गुंतवणुकीत महाराष्ट्राची पुन्हा एकदा बाजी, कारणं काय?","ABP Majha","","unknown","Broadcast date not verified. YouTube upload date is recorded separately and excluded from publication-date filtering.","Marathi","Interview","","https://www.youtube.com/watch?v=BmVScyXIfLA",""
